consumer_id,cluster_label_dbscan,final_cluster_label,predicted_phase
MTR_N_01,3,3,B
MTR_N_02,3,3,B
MTR_N_03,3,3,B
MTR_N_04,3,3,B
MTR_N_05,2,2,A
MTR_N_06,2,2,A
MTR_O_01,1,1,C
MTR_O_02,2,2,A
MTR_O_03,1,1,C
MTR_O_04,1,1,C
MTR_O_05,0,0,B
MTR_O_06,2,2,A
MTR_P_01,3,3,B
MTR_P_02,1,1,C
MTR_P_03,1,1,C
MTR_P_04,3,3,B
MTR_P_05,2,2,A
MTR_P_06,3,3,B
MTR_Q_01,2,2,A
MTR_Q_02,2,2,A
MTR_Q_03,0,0,B
MTR_Q_04,0,0,B
MTR_Q_05,3,3,B
MTR_Q_06,3,3,B
MTR_R_01,2,2,A
MTR_R_02,1,1,C
MTR_R_03,2,2,A
MTR_R_04,2,2,A
MTR_R_05,1,1,C
MTR_R_06,2,2,A
MTR_S_01,2,2,A
MTR_S_02,1,1,C
MTR_S_03,1,1,C
MTR_S_04,1,1,C
MTR_S_05,3,3,B
MTR_S_06,3,3,B
MTR_T_01,2,2,A
MTR_T_02,1,1,C
MTR_T_03,2,2,A
MTR_T_04,1,1,C
MTR_T_05,0,0,B
MTR_T_06,0,0,B
MTR_U_01,1,1,C
MTR_U_02,2,2,A
MTR_U_03,1,1,C
MTR_U_04,1,1,C
MTR_U_05,3,3,B
MTR_U_06,1,1,C
MTR_V_01,1,1,C
MTR_V_02,2,2,A
MTR_V_03,2,2,A
MTR_V_04,1,1,C
MTR_V_05,1,1,C
MTR_V_06,2,2,A
MTR_W_01,1,1,C
MTR_W_02,2,2,A
MTR_W_03,3,3,B
MTR_W_04,2,2,A
MTR_W_05,2,2,A
MTR_W_06,3,3,B
MTR_X_01,1,1,C
MTR_X_02,3,3,B
MTR_X_03,1,1,C
MTR_X_04,1,1,C
MTR_X_05,2,2,A
MTR_X_06,1,1,C
MTR_Y_01,1,1,C
MTR_Y_02,3,3,B
MTR_Y_03,3,3,B
MTR_Y_04,1,1,C
MTR_Y_05,3,3,B
MTR_Y_06,3,3,B
MTR_Z_01,2,2,A
MTR_Z_02,2,2,A
MTR_Z_03,2,2,A
MTR_Z_04,3,3,B
MTR_Z_05,3,3,B
MTR_Z_06,1,1,C
MTR_[_01,1,1,C
MTR_[_02,3,3,B
MTR_[_03,0,0,B
MTR_[_04,1,1,C
MTR_[_05,2,2,A
MTR_[_06,3,3,B
MTR_\_01,3,3,B
MTR_\_02,2,2,A
MTR_\_03,1,1,C
MTR_\_04,2,2,A
MTR_\_05,3,3,B
MTR_\_06,1,1,C
MTR_]_01,1,1,C
MTR_]_02,2,2,A
MTR_]_03,1,1,C
MTR_]_04,2,2,A
MTR_]_05,3,3,B
MTR_]_06,0,0,B
MTR_^_01,0,0,B
MTR_^_02,2,2,A
MTR_^_03,2,2,A
MTR_^_04,1,1,C
MTR_^_05,2,2,A
MTR_^_06,2,2,A
MTR___01,2,2,A
MTR___02,2,2,A
MTR___03,0,0,B
MTR___04,3,3,B
MTR___05,1,1,C
MTR___06,2,2,A
MTR_`_01,2,2,A
MTR_`_02,1,1,C
MTR_`_03,0,0,B
MTR_`_04,1,1,C
MTR_`_05,2,2,A
MTR_`_06,1,1,C
MTR_a_01,2,2,A
MTR_a_02,2,2,A
MTR_a_03,1,1,C
MTR_a_04,0,0,B
MTR_a_05,1,1,C
MTR_a_06,3,3,B
MTR_b_01,3,3,B
MTR_b_02,2,2,A
MTR_b_03,2,2,A
MTR_b_04,1,1,C
MTR_b_05,1,1,C
MTR_b_06,2,2,A
MTR_c_01,0,0,B
MTR_c_02,2,2,A
MTR_c_03,3,3,B
MTR_c_04,1,1,C
MTR_c_05,2,2,A
MTR_c_06,3,3,B
MTR_d_01,2,2,A
MTR_d_02,2,2,A
MTR_d_03,1,1,C
MTR_d_04,0,0,B
MTR_d_05,2,2,A
MTR_d_06,0,0,B
MTR_e_01,3,3,B
MTR_e_02,2,2,A
MTR_e_03,1,1,C
MTR_e_04,0,0,B
MTR_e_05,0,0,B
MTR_e_06,2,2,A
MTR_f_01,2,2,A
MTR_f_02,3,3,B
MTR_f_03,2,2,A
MTR_f_04,0,0,B
MTR_f_05,1,1,C
MTR_f_06,1,1,C
MTR_g_01,3,3,B
MTR_g_02,1,1,C
MTR_g_03,2,2,A
MTR_g_04,1,1,C
MTR_g_05,3,3,B
MTR_g_06,1,1,C
MTR_h_01,2,2,A
MTR_h_02,2,2,A
MTR_h_03,2,2,A
MTR_h_04,3,3,B
MTR_h_05,3,3,B
MTR_h_06,0,0,B
MTR_i_01,2,2,A
MTR_i_02,1,1,C
MTR_i_03,3,3,B
MTR_i_04,1,1,C
MTR_i_05,2,2,A
MTR_i_06,2,2,A
MTR_j_01,1,1,C
MTR_j_02,1,1,C
MTR_j_03,2,2,A
MTR_j_04,3,3,B
MTR_j_05,2,2,A
MTR_j_06,3,3,B
MTR_k_01,1,1,C
MTR_k_02,2,2,A
MTR_k_03,1,1,C
MTR_k_04,1,1,C
MTR_k_05,1,1,C
MTR_k_06,1,1,C
MTR_l_01,1,1,C
MTR_l_02,2,2,A
MTR_l_03,1,1,C
MTR_l_04,2,2,A
MTR_l_05,1,1,C
MTR_l_06,2,2,A
MTR_m_01,2,2,A
MTR_m_02,1,1,C
MTR_m_03,0,0,B
MTR_m_04,3,3,B
MTR_m_05,3,3,B
MTR_m_06,1,1,C
MTR_n_01,0,0,B
MTR_n_02,1,1,C
MTR_n_03,3,3,B
MTR_n_04,3,3,B
MTR_n_05,2,2,A
MTR_n_06,0,0,B
MTR_o_01,-1,2,A
MTR_o_02,3,3,B
MTR_o_03,3,3,B
MTR_o_04,1,1,C
MTR_o_05,1,1,C
MTR_o_06,1,1,C
MTR_p_01,3,3,B
MTR_p_02,0,0,B
MTR_p_03,2,2,A
MTR_p_04,1,1,C
MTR_p_05,1,1,C
MTR_p_06,2,2,A
MTR_q_01,2,2,A
MTR_q_02,2,2,A
MTR_q_03,3,3,B
MTR_q_04,2,2,A
MTR_q_05,2,2,A
MTR_q_06,2,2,A
MTR_r_01,2,2,A
MTR_r_02,2,2,A
MTR_r_03,2,2,A
MTR_r_04,1,1,C
MTR_r_05,2,2,A
MTR_r_06,3,3,B
